Name,Categories,Key Words,Vendors,Color,Crystal Structure,Physical Properties,Chemical Properties,Mechanical Properties,Electrical Properties,Thermal Properties,Optical Properties,Component Elements Properties,Descriptive Properties,Processing,URL
"Graphite, Carbon, C","Carbon, Graphite, Pure Element","CAS Number: 7440-44-0, Physical Form: Soft Black Hexagonal Crystals, Natural Occurrence: Metamorphic rocks: marble, slate, schist.  Weathering end product: flaky residue in soils.  Virtually all commercially available graphite is artificially produced under controlled conditions.",,,,"[{'Density': {'Metric': '2.25g/cc', 'English': '0.0813lb/in³', 'Comments': None}}]","[{'Atomic Mass': {'Metric': '12.0107', 'English': '12.0107', 'Comments': '1995'}}]","[{'Hardness, Mohs': {'Metric': '1.0 - 2.0', 'English': '1.0 - 2.0', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00600ohm-cm', 'English': '0.00600ohm-cm', 'Comments': None}}]","[{'Heat of Fusion': {'Metric': '9741J/g', 'English': '4191BTU/lb', 'Comments': None}}]","[{'Emissivity (0-1)': {'Metric': '0.90', 'English': '0.90', 'Comments': None}}]","[{'Carbon, C': {'Component Elements Properties': '100 %', 'Metric': '100 %', 'English': None, 'Comments': None}}]",[{'ColorBlack': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=3f64b985402445c0a5af911135909344&ckck=1
Momentive Performance Materials Pyrolytic Graphite (PG) Coating,"Carbon, Graphite, Other Engineering Material, Ceramic/Metallic Coating","PG is a popular coating for sealing machined graphite hardware which does not require oxidation protection.  It is the most anisotropic commercially available material and is therefore useful where thermal management is important.  PG coatings can be applied to PBN crucibles and plates as in Advanced Ceramics' patented ""Hot-Lip"" MBE crucibles and Boralectric® heaters., Information provided by Momentive Performance Materials, formerly GE Advanced Ceramics.",N/A,,,"[{'Density': {'Metric': '2.20g/cc', 'English': '0.0795lb/in³', 'Comments': None}}]",N/A,"[{'Modulus of Elasticity': {'Metric': '20.0GPa', 'English': '2900ksi', 'Comments': ""Young's modulus""}}]","[{'Electrical Resistivity': {'Metric': '0.000250ohm-cm', 'English': '0.000250ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '0.500µm/m-°C@Temperature 20.0 °C', 'English': '0.278µin/in-°F@Temperature 68.0 °F', 'Comments': 'ab direction'}}]","[{'Emissivity (0-1)': {'Metric': '0.80', 'English': '0.80', 'Comments': 'normal spectrum'}}]",N/A,N/A,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=95d9b34f438043dd8413a80ea53c5be7
MarkeTech Carbon Nanofoam,"Carbon, Ceramic, Aerogel","Electrically conductive carbon nanofoams possess many of the properties of traditional aerogel material. These materials are available in the form of monoliths, granules, powders and papers. They are synthetic, lightweight foams in which the solid matrix and pore spaces have nanometer-scale dimensions. Prepared by sol-gel methods, nanofoams typically have low density, continuous porosity, high surface area, and fine cell/pore sizes. The foams are also electrically conductive and have a high capacitance., Carbon nanofoams are being used as lightweight, high temperature insulation, absorbents and coatings, specialty optics, and electrodes for water deionization cells, fuel cells, and other devices. Morphology examination by scanning electron microscope shows an open cell structure and continuous porosity. The particle size and pore spacing is a function of density and the polymerization chemistry used during the sol-gel process. Low density carbon nanofoams (~0.25 g/cm3) have the largest cell/pore size with particle diameters of up to 100 nm and pores at least 500 nm. High density carbon foams (abt. 0.8 g/cm3) have ultra fine particles and pores of less than 1000Å., Data provided by the supplier, MarkeTech International., MarkeTech International is no longer in business.",N/A,,,"[{'Density': {'Metric': '0.250-1.00g/cc', 'English': '0.00903-0.0361lb/in³', 'Comments': 'available range'}}]",N/A,N/A,"[{'Electrical Resistivity': {'Metric': '0.010-0.040ohm-cm', 'English': '0.010-0.040ohm-cm', 'Comments': None}}]","[{'Thermal Conductivity': {'Metric': '0.0890W/m-K', 'English': '0.618BTU-in/hr-ft²-°F', 'Comments': None}}]",N/A,N/A,[{'Average Pore Size0.7 nmat density = 0.8 g/cc': {'Descriptive Properties': 'Capacitance30 F/gat density = 0.8 g/cc'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=62492f5d10b24974b4abd6e3924cee7e
Goodfellow CVD Graphene Film on PET,"Carbon, Polymer, Film",State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 188 micron PET Film for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,"[{'Surface Resistivity per Square': {'Metric': '<=400ohm', 'English': '<=400ohm', 'Comments': None}}]",N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,"[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/VsMax 17,000 cm²/Vs'}}]",,https://www.matweb.com/search/DataSheet.aspx?MatGUID=885af42324354322bbb4487a599fc7b0
Goodfellow Ultra Clean CVD Graphene Film on SiO2/Si Wafers,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a SiO2(300nm)/Si wafer for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,"[{'Surface Resistivity per Square': {'Metric': '<=400ohm', 'English': '<=400ohm', 'Comments': None}}]",N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,"[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/VsMax 17,000 cm²/Vs'}}]",,https://www.matweb.com/search/DataSheet.aspx?MatGUID=60fced6a6aca4ec9aa27b7635a894fdc
Goodfellow CVD Graphene Film on Quartz Glass,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a variable thickness quartz glass for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-30µm', 'English': '10-30µm', 'Comments': 'Domain Size'}}]",N/A,N/A,"[{'Surface Resistivity per Square': {'Metric': '<=400ohm', 'English': '<=400ohm', 'Comments': 'varies with dopant'}}]",N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,"[{'Domain Size10 - 30 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/VsMax 17,000 cm²/Vs, varies with dopant'}}]",,https://www.matweb.com/search/DataSheet.aspx?MatGUID=4f641c1a5f8c4223b31131a24b0f2413
Goodfellow Multi Wall Carbon Nanotube Carpet,Carbon,"Free Standing aligned CNT arrays (Carpets) are synthesized by floating catalyst CVD method within a horizontal quartz reaction tube. The CNT synthesis parameters are carefully selected to provide maximum-yield of CNT growth, high packing density as well as high graphitization level.",N/A,,,N/A,N/A,N/A,N/A,"[{'Maximum Service Temperature, Air': {'Metric': '600-700°C', 'English': '1110-1290°F', 'Comments': 'Oxidation Temperature; TGA'}}]",N/A,N/A,[{'Average Diameter30 - 90 nmTEM': {'Descriptive Properties': 'Graphitization level0.3 - 0.4 Id/IgRaman'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=f4fc436716884550975532077d240461
"Diamond, thin film","Carbon, Diamond",,N/A,,,"[{'Density': {'Metric': '2.65g/cc', 'English': '0.0957lb/in³', 'Comments': None}}]",N/A,"[{'Knoop Microhardness': {'Metric': '65', 'English': '65', 'Comments': 'GPa;'}}]","[{'Dielectric Constant': {'Metric': '3.5 - 5.7', 'English': '3.5 - 5.7', 'Comments': None}}]","[{'Specific Heat Capacity': {'Metric': '2.76-3.49J/g-°C@Temperature 578 °C', 'English': '0.660-0.834BTU/lb-°F@Temperature 1070 °F', 'Comments': None}}]",N/A,N/A,"[{'ColorClearImpurities (i.e. Nitrogen) and irradiation can change color to yellow, green, blue, pink, or brown.': {'Descriptive Properties': 'Crystal StructureCubicDiamond - Space Group Fd3m'}}]",,https://www.matweb.com/search/DataSheet.aspx?MatGUID=683130cff81e4bbeb5eea98461d62f00
"Diamond, Polycrystalline","Carbon, Diamond",,N/A,,,"[{'Density': {'Metric': '3.00-4.00g/cc', 'English': '0.108-0.145lb/in³', 'Comments': None}}]",N/A,"[{'Knoop Microhardness': {'Metric': '49 - 78', 'English': '49 - 78', 'Comments': 'GPa Microhardness'}}]",N/A,"[{'CTE, linear': {'Metric': '1.50-3.80µm/m-°C@Temperature 25.0 - 100 °C', 'English': '0.833-2.11µin/in-°F@Temperature 77.0 - 212 °F', 'Comments': None}}]",N/A,N/A,"[{'ColorClearImpurities (i.e. Nitrogen) and irradiation can change color to yellow, green, blue, pink, or brown.': {'Descriptive Properties': 'Crystal StructureCubicDiamond - Space Group Fd3m'}}]",,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d63925f535d94298947192f311dc7e1b
Goodfellow Multi Wall Carbon Nanotube Powder (MWCNT),Carbon,"Multi Wall Carbon Nanotube (MWCNT) powder is produced via Catalytic Chemical Vapor Deposition (CCVD). The carbon nanotubes are tube-shaped materials, exclusively composed of carbon atoms, having a nanometric diameter. The graphite layer can be visualized somewhat like a rolled-up wire with a continuous unbroken hexagonal mesh and carbon atoms at the apexes of the hexagons. With action of van der Waals forces, carbon nanotubes tend to cluster into bundles or agglomerates. Consequently, carbon nanotubes look like a black powder. At nanoscale, they have a spaghetti-like structure., Primary interest is in applications requiring low electrical percolation threshold such as high-performance electrostatic dissipative plastics or coatings. These carbon nanotubes are used in various applications in different markets:, Transportation (Automotive, Aeronautic, Boats), Electronics (Electronic packaging, EMI-shielding, sensors), Energy (Lithium-ion), Industrial applications (Oil&Gas, dynamic rubber parts, coatings, heating elements), Sporting goods, Benefits:, High electrical conductivity, Good processability, Retention of key mechanical properties, Cost effective, High recyclability in thermoplastics, Cleanliness, Flame retardancy (synergy in combination with other flame retardants), Thermal dissipation, UV resistance, Black tinting",N/A,,,"[{'Specific Surface Area': {'Metric': '250-300m²/g', 'English': '250-300m²/g', 'Comments': 'BET'}}]",N/A,N/A,"[{'Volume Resistivity': {'Metric': '0.00010ohm-cm', 'English': '0.00010ohm-cm', 'Comments': None}}]",N/A,N/A,"[{'Carbon, C': {'Component Elements Properties': '90 %', 'Metric': '90 %', 'English': 'Carbon Purity; TGA', 'Comments': None}}]",[{'Average Diameter9.5 nmTEM': {'Descriptive Properties': 'Average Length1.5 µmTEM'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=76cccf8a0e564c438fea4cb77aa16f52
"Diamond, Synthetic","Carbon, Diamond",,N/A,,,"[{'Density': {'Metric': '3.20-3.52g/cc', 'English': '0.116-0.127lb/in³', 'Comments': None}}]",N/A,"[{'Knoop Microhardness': {'Metric': '54 - 84', 'English': '54 - 84', 'Comments': 'in GPa'}}]",N/A,"[{'Thermal Conductivity': {'Metric': '2000W/m-K', 'English': '13900BTU-in/hr-ft²-°F', 'Comments': None}}]",N/A,N/A,"[{'ColorClearImpurities (i.e. Nitrogen) and irradiation can change color to yellow, green, blue, pink, or brown.': {'Descriptive Properties': 'Crystal StructureCubicDiamond - Space Group Fd3m'}}]",,https://www.matweb.com/search/DataSheet.aspx?MatGUID=4b8970a9250943a882a509f1dc637280
"Diamond, Natural","Carbon, Diamond, Pure Element",,,,,"[{'Density': {'Metric': '3.51-3.52g/cc', 'English': '0.127-0.127lb/in³', 'Comments': None}}]","[{'Atomic Mass': {'Metric': '12.0107', 'English': '12.0107', 'Comments': '1995'}}]","[{'Hardness, Knoop': {'Metric': '8000', 'English': '8000', 'Comments': None}}]","[{'Magnetic Susceptibility': {'Metric': '-0.00000588', 'English': '-0.00000588', 'Comments': 'Atomic (cgs)'}}]","[{'CTE, linear': {'Metric': '1.18µm/m-°C@Temperature 20.0 °C', 'English': '0.656µin/in-°F@Temperature 68.0 °F', 'Comments': None}}]","[{'Refractive Index': {'Metric': '2.419', 'English': '2.419', 'Comments': None}}]","[{'Carbon, C': {'Component Elements Properties': '100 %', 'Metric': '100 %', 'English': None, 'Comments': None}}]","[{'CAS Number7782-40-3': {'Descriptive Properties': 'ColorClearImpurities (i.e. Nitrogen) and irradiation can change color to yellow, green, blue, pink, or brown.'}}]",,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d8d230a8d9664bc390199dab7bc56e1e
Cotronics Resbond™ 931 High Temperature Graphite Adhesive,"Carbon, Graphite",,N/A,,,N/A,N/A,"[{'Flexural Strength': {'Metric': '10.3MPa', 'English': '1500psi', 'Comments': None}}]",N/A,"[{'CTE, linear': {'Metric': '7.38µm/m-°C@Temperature 20.0 °C', 'English': '4.10µin/in-°F@Temperature 68.0 °F', 'Comments': None}}]",N/A,N/A,N/A,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=012fe5b470204aaaa7314811243e5af8
CoorsTek CRB-500 Medium Strength Carbon Graphite,"Carbon, Graphite","Designed specifically for dry-running applications, CoorsTek CRB-500 material contains a film former for optimum dry-running performance.",N/A,,,"[{'Density': {'Metric': '1.80g/cc', 'English': '0.0650lb/in³', 'Comments': 'ASTM-C559-85'}}]",N/A,"[{'Modulus of Elasticity': {'Metric': '20.7GPa', 'English': '3000ksi', 'Comments': 'ASTM-C747-74'}}]","[{'Electrical Resistivity': {'Metric': '0.00190ohm-cm', 'English': '0.00190ohm-cm', 'Comments': 'ASTM-C611-84'}}]","[{'CTE, linear': {'Metric': '5.04µm/m-°C', 'English': '2.80µin/in-°F', 'Comments': 'ASTM-C372'}}]",N/A,N/A,[{'Hardness (Shore-Scleroscope)90': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=fac9e362caf9414bbaf7a69dac0e4b8f
Destech Open-Celled Glassy Carbon Foam,"Carbon, Other Engineering Material, Composite Core Material","Destech glassy (vitreous) carbon foam is available in different grades depending on the number of pores per inch (ppi). Standard grades are 10, 45, 100 and 500 ppi.  Custom grades are available on a special order basis., Areas of applications include filtration, electrochemical cells, heating elements, electrodes, fuel cells, acoustics, high temp insulation, foam cores.   Data provided by the manufacturer, Destech Corporation.",N/A,,,"[{'Bulk Density': {'Metric': '0.0190-0.390g/cc', 'English': '0.000686-0.0141lb/in³', 'Comments': 'Dependent on grade.'}}]",N/A,"[{'Compressive Strength': {'Metric': '0.300-7.00MPa', 'English': '43.5-1020psi', 'Comments': 'Dependent on grade'}}]","[{'Electrical Resistivity': {'Metric': '0.0750ohm-cm', 'English': '0.0750ohm-cm', 'Comments': 'Dependent on grade.'}}]","[{'CTE, linear': {'Metric': '1.60µm/m-°C@Temperature 20.0 °C', 'English': '0.889µin/in-°F@Temperature 68.0 °F', 'Comments': None}}]",N/A,N/A,N/A,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=cceb695ee7274c848cee725f65cc67f6
CoorsTek CRB-600 Resin-Bonded Carbon Graphite,"Carbon, Graphite","Designed for use in high-volume, general purpose applications, CoorsTek CRB-600 material employs a chemically resistant resin bonding agent for smooth and reliable seal performance.",N/A,,,"[{'Density': {'Metric': '1.78g/cc', 'English': '0.0643lb/in³', 'Comments': 'ASTM-C559-85'}}]",N/A,"[{'Modulus of Elasticity': {'Metric': '13.8GPa', 'English': '2000ksi', 'Comments': 'ASTM-C747-74'}}]","[{'Electrical Resistivity': {'Metric': '0.00800ohm-cm', 'English': '0.00800ohm-cm', 'Comments': 'ASTM-C611-84'}}]","[{'Maximum Service Temperature, Air': {'Metric': '204°C', 'English': '399°F', 'Comments': None}}]",N/A,N/A,[{'Hardness (Shore-Scleroscope)30': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=5a0af2aace224d5faf27520207fb9be2
CoorsTek CRB-300 General-Duty Carbon Graphite,"Carbon, Graphite","Designed for general-use mechanical seals, this material displays very good blister resistance and tribological characteristics.",N/A,,,"[{'Density': {'Metric': '1.80g/cc', 'English': '0.0650lb/in³', 'Comments': 'ASTM-C559-85'}}]",N/A,"[{'Modulus of Elasticity': {'Metric': '21.4GPa', 'English': '3100ksi', 'Comments': 'ASTM-C747-74'}}]","[{'Electrical Resistivity': {'Metric': '0.00170ohm-cm', 'English': '0.00170ohm-cm', 'Comments': 'ASTM-C611-84'}}]","[{'CTE, linear': {'Metric': '5.22µm/m-°C', 'English': '2.90µin/in-°F', 'Comments': 'ASTM-C372'}}]",N/A,N/A,[{'Hardness (Shore-Scleroscope)90': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=ac56570efe8d46cb88f201fe450afd2e
