Page NO,Category,Name,Categories,Key Words,Vendors,Color,Crystal Structure,Physical Properties,Chemical Properties,Mechanical Properties,Electrical Properties,Thermal Properties,Optical Properties,Component Elements Properties,Descriptive Properties,Processing,URL
2,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
1,carbon,"Graphite, Carbon, C","Carbon, Graphite, Pure Element","CAS Number: 7440-44-0, Physical Form: Soft Black Hexagonal Crystals, Natural Occurrence: Metamorphic rocks: marble, slate, schist.  Weathering end product: flaky residue in soils.  Virtually all commercially available graphite is artificially produced under controlled conditions.",,,,"[{'Density': {'Metric': '2.25g/cc', 'English': '0.0813lb/in³', 'Comments': None}}]","[{'Atomic Mass': {'Metric': '12.0107', 'English': '12.0107', 'Comments': '1995'}}]","[{'Hardness, Mohs': {'Metric': '1.0 - 2.0', 'English': '1.0 - 2.0', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00600ohm-cm', 'English': '0.00600ohm-cm', 'Comments': None}}]","[{'Heat of Fusion': {'Metric': '9741J/g', 'English': '4191BTU/lb', 'Comments': None}}]","[{'Emissivity (0-1)': {'Metric': '0.90', 'English': '0.90', 'Comments': None}}]","[{'Carbon, C': {'Component Elements Properties': '100 %', 'Metric': '100 %', 'English': None, 'Comments': None}}]",[{'ColorBlack': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=3f64b985402445c0a5af911135909344&ckck=1
3,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
4,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
5,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
6,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
7,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
8,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
9,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
10,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
