Page NO,Category,Name,Categories,Key Words,Vendors,Color,Crystal Structure,Physical Properties,Chemical Properties,Mechanical Properties,Electrical Properties,Thermal Properties,Optical Properties,Component Elements Properties,Descriptive Properties,Processing,URL,Material,url,Description,Alloy Composition,Base Metal Price (% relative),Brinell Hardness,Compressive (crushing) Strength (MPa),Curie Temperature (°C),Density (g/cm³),Dielectric Constant (relative Permittivity) At 1Hz,Dielectric Constant (relative Permittivity) At 1Mhz,Dielectric Strength (breakdown Potential) (kV/mm),"Elastic (Young's, Tensile) Modulus (GPa)",Electrical Conductivity: Equal Volume (% IACS),Electrical Conductivity: Equal Weight (specific) (% IACS),Electrical Dissipation At 1Hz,Electrical Dissipation At 1Mhz,Electrical Resistivity Order Of Magnitude (10),Elongation At Break (%),Embodied Carbon (kg CO₂),Embodied Energy (MJ/kg),Embodied Water (L/kg),Fatigue Strength (MPa),Flexural Modulus (GPa),Flexural Strength (MPa),Follow-up Questions,Fracture Toughness (MPa·m),Further Reading,Glass Transition Temperature (°C),Heat Deflection Temperature At 1.82Mpa (264Psi) (°C),Impact Strength: Notched Izod (J/m),Impact Strength: V-notched Charpy (J),Knoop Hardness,Latent Heat Of Fusion (J/g),Light Transmission Range (µm),Limiting Oxygen Index (loi) (%),Maximum Temperature: Autoignition (°C),Maximum Temperature: Corrosion (°C),Maximum Temperature: Decomposition (°C),Maximum Temperature: Mechanical (°C),Maximum Thermal Shock (°C),Melting Completion (liquidus) (°C),Melting Onset (solidus) (°C),Poisson's Ratio,Pren (pitting Resistance),Reduction In Area (%),Refractive Index,Resilience: Ultimate (unit Rupture Work) (MJ/m³),Resilience: Unit (modulus Of Resilience) (kJ/m³),Rockwell B Hardness,Rockwell C Hardness,Rockwell M Hardness,Shear Modulus (GPa),Shear Strength (MPa),Solidification (pattern Maker's) Shrinkage (%),Specific Heat Capacity (J/kg·K),Stiffness To Weight: Axial (points),Stiffness To Weight: Bending (points),Strength To Weight: Axial (points),Strength To Weight: Bending (points),Tensile Strength: Ultimate (uts) (MPa),Tensile Strength: Yield (proof) (MPa),Thermal Conductivity (W/m·K),Thermal Diffusivity (mm²/s),Thermal Expansion (µm/m·K),Thermal Shock Resistance (points),Vicat Softening Temperature (°C),Water Absorption After 24 Hours (%),Water Absorption At Saturation (%),Material ID (MAT_ID),Material Designation,Manufacturer/Supplier,Chemical Composition,Semifinished Material Information,Heat Treatment,Microstructure,Hardness,Testing Conditions (Axial Loading),Monotonic Properties,Monotonic Stress-Strain Curves (Ramberg-Osgood Model),"Cyclic/Fatigue Properties (Axial Loading, Fully Reversed)",Testing Temperature (°C),Testing Medium,Loading Type,Loading Control,Specimen,Loading Ratio,Additional Remarks,Fatigue Properties,Fatigue Strain-Life Parameters (Coffin-Manson-Basquin Model),Collecting Cyclic Stress-Strain Plot Data
Category: polymer Page No: 1,polymer,ESK Ceramics PolyCeram® TRIBO140 Polymer matrix composite,Polymer,"Information provided by ESK Ceramics, now 3M Technical Ceramics.",N/A,,,"[{'Density': {'Metric': '1.61g/cc', 'English': '0.0582lb/in³', 'Comments': 'ISO 1183'}}]",N/A,"[{'Ball Indentation Hardness': {'Metric': '>=203MPa', 'English': '>=29400psi', 'Comments': 'DIN 53 456'}}]",N/A,"[{'CTE, linear, Parallel to Flow': {'Metric': '33.4µm/m-°C@Temperature -30.0 - 140 °C', 'English': '18.6µin/in-°F@Temperature -22.0 - 284 °F', 'Comments': 'DIN ISO 11359-2'}}]",N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d7b9d22e32974013ac43426e011d10c8&ckck=1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 1,polymer,"Overview of materials for Polycarbonate/ABS Alloy, NCG Fiber Filled","Polymer, Thermoplastic, ABS Polymer, Polycarbonate/ABS Alloy, NCG Fiber Filled","This property data is a summary of similar materials in the MatWeb database for the category ""Polycarbonate/ABS Alloy, NCG Fiber Filled"". Each property range of values reported is minimum and maximum values of appropriate MatWeb entries. The comments report the average value, and number of data points used to calculate the average. The values are not necessarily typical of any specific grade, especially less common values and those that can be most affected by additives or processing methods.",,,,"[{'Density': {'Metric': '1.18-1.45g/cc', 'English': '0.0426-0.0524lb/in³', 'Comments': 'Average value: 1.32 g/cc Grade Count:28'}}]",N/A,"[{'Tensile Strength, Ultimate': {'Metric': '62.1-153MPa', 'English': '9000-22200psi', 'Comments': 'Average value: 99.6 MPa Grade Count:28'}}]","[{'Electrical Resistivity': {'Metric': '0.100-1000ohm-cm', 'English': '0.100-1000ohm-cm', 'Comments': 'Average value: 249 ohm-cm Grade Count:28'}}]","[{'Deflection Temperature at 1.8 MPa (264 psi)': {'Metric': '98.9-121°C', 'English': '210-250°F', 'Comments': 'Average value: 106 °C Grade Count:22'}}]",N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=a9bf1f661e434b63b0445ca78fb9763e,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 1,polymer,"Overview of materials for Polycarbonate/ABS Alloy, Carbon Fiber Filled","Polymer, Thermoplastic, ABS Polymer, Polycarbonate/ABS Alloy, Carbon Fiber Filled, Polycarbonate (PC)","This property data is a summary of similar materials in the MatWeb database for the category ""Polycarbonate/ABS Alloy, Carbon Fiber Filled"". Each property range of values reported is minimum and maximum values of appropriate MatWeb entries. The comments report the average value, and number of data points used to calculate the average. The values are not necessarily typical of any specific grade, especially less common values and those that can be most affected by additives or processing methods.",,,,"[{'Density': {'Metric': '1.17-1.40g/cc', 'English': '0.0423-0.0506lb/in³', 'Comments': 'Average value: 1.28 g/cc Grade Count:31'}}]",N/A,"[{'Tensile Strength, Ultimate': {'Metric': '67.6-165MPa', 'English': '9800-24000psi', 'Comments': 'Average value: 106 MPa Grade Count:33'}}]","[{'Electrical Resistivity': {'Metric': '1.00-1.00e+9ohm-cm', 'English': '1.00-1.00e+9ohm-cm', 'Comments': 'Average value: 6.67e+7 ohm-cm Grade Count:20'}}]","[{'CTE, linear': {'Metric': '13.0-50.0µm/m-°C', 'English': '7.22-27.8µin/in-°F', 'Comments': 'Average value: 25.4 µm/m-°C Grade Count:9'}}]",N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=498f78e39a4a4f1285c8d9c5b6804807,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 2,polymer,"Overview of materials for Linear Low Density Polyethylene (LLDPE), Rotational Molding Grade","Polymer, Thermoplastic, Polyethylene (PE), Linear Low Density (LLDPE), Linear Low Density Polyethylene (LLDPE), Rotational Molding Grade","This property data is a summary of similar materials in the MatWeb database for the category ""Linear Low Density Polyethylene (LLDPE), Rotational Molding Grade"". Each property range of values reported is minimum and maximum values of appropriate MatWeb entries. The comments report the average value, and number of data points used to calculate the average. The values are not necessarily typical of any specific grade, especially less common values and those that can be most affected by additives or processing methods.",N/A,,,"[{'Density': {'Metric': '0.913-0.945g/cc', 'English': '0.0330-0.0341lb/in³', 'Comments': 'Average value: 0.935 g/cc Grade Count:75'}}]",N/A,"[{'Hardness, Shore D': {'Metric': '52.0 - 61.0', 'English': '52.0 - 61.0', 'Comments': 'Average value: 57.6  Grade Count:11'}}]",N/A,"[{'Melting Point': {'Metric': '104-128°C', 'English': '220-262°F', 'Comments': 'Average value: 125 °C Grade Count:50'}}]",N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=d4a4e326294449179c63aadae619026b,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 3,polymer,Overview of materials for Polyether Block Amide (PEBA),"Polymer, Thermoplastic, Polyether Block Amide (PEBA)","This property data is a summary of similar materials in the MatWeb database for the category ""Polyether Block Amide (PEBA)"". Each property range of values reported is minimum and maximum values of appropriate MatWeb entries. The comments report the average value, and number of data points used to calculate the average. The values are not necessarily typical of any specific grade, especially less common values and those that can be most affected by additives or processing methods.",N/A,,,"[{'Density': {'Metric': '0.870-11.0g/cc', 'English': '0.0314-0.397lb/in³', 'Comments': 'Average value: 1.32 g/cc Grade Count:83'}}]",N/A,"[{'Hardness, Shore A': {'Metric': '75.0 - 92.0', 'English': '75.0 - 92.0', 'Comments': 'Average value: 84.5  Grade Count:13'}}]","[{'Electrical Resistivity': {'Metric': '0.00500-9.00e+13ohm-cm', 'English': '0.00500-9.00e+13ohm-cm', 'Comments': 'Average value: 7.93e+12 ohm-cm Grade Count:31'}}]","[{'CTE, linear': {'Metric': '100-240µm/m-°C', 'English': '55.6-133µin/in-°F', 'Comments': 'Average value: 179 µm/m-°C Grade Count:17'}}]",N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=57b805a667ee48f7b58b3fd8df1fa17b,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 3,polymer,Overview of materials for Styrenic TPE,"Polymer, Thermoplastic, Elastomer, TPE, Styrenic TPE","This property data is a summary of similar materials in the MatWeb database for the category ""Styrenic TPE"". Each property range of values reported is minimum and maximum values of appropriate MatWeb entries. The comments report the average value, and number of data points used to calculate the average. The values are not necessarily typical of any specific grade, especially less common values and those that can be most affected by additives or processing methods.",,,,"[{'Density': {'Metric': '0.930-1.68g/cc', 'English': '0.0336-0.0607lb/in³', 'Comments': 'Average value: 1.06 g/cc Grade Count:35'}}]","[{'Butadiene Content': {'Metric': '60 - 78 %', 'English': '60 - 78 %', 'Comments': 'Average value: 70.2 % Grade Count:10'}}]","[{'Hardness, Shore A': {'Metric': '45 - 91', 'English': '45 - 91', 'Comments': 'Average value: 66.6  Grade Count:40'}}]","[{'Electrical Resistivity': {'Metric': '0.100-1.00e+16ohm-cm', 'English': '0.100-1.00e+16ohm-cm', 'Comments': 'Average value: 7.69e+15 ohm-cm Grade Count:13'}}]","[{'Brittleness Temperature': {'Metric': '-60.0--57.0°C', 'English': '-76.0--70.6°F', 'Comments': 'Average value: -59.0 °C Grade Count:4'}}]",N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=40f15838d18847db8b57ca596de34a88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 4,polymer,Mitsubishi Chemical Advanced Materials Ertalon™ 6PLA FG PA6 Food Grade Polyamide 6,"Polymer, Thermoplastic, Nylon (Polyamide PA), Nylon 6 (PA6), Nylon 6, Cast","Food contact compliant with the highest strength and hardness of all food grade nylon 6 materials, as well as great resistance to creep, wear, and heat aging. 
",,,,"[{'Specific Gravity': {'Metric': '1.15g/cc', 'English': '1.15g/cc', 'Comments': 'ASTM D792'}}]","[{'Acids, Strong (pH 1-3)': {'Mitsubishi Chemical Advanced Materials Ertalon™ 6PLA FG PA6 Food Grade Polyamide 6\n      \n      \n      \n    ': 'Unacceptable', 'Chemical Resistance Properties': 'Unacceptable', 'Metric': None, 'English': None, 'Comments': None}}]","[{'Hardness, Rockwell M': {'Metric': '88.0', 'English': '88.0', 'Comments': 'ASTM D785'}}]","[{'Surface Resistivity per Square': {'Metric': '1.00e+14ohm', 'English': '1.00e+14ohm', 'Comments': 'ANSI/ESD STM 11.11'}}]","[{'CTE, linear': {'Metric': '90.0µm/m-°C', 'English': '50.0µin/in-°F', 'Comments': 'ASTM E-831 (TMA)'}}]",N/A,N/A,[{'ESd categoryInsulative': {'Descriptive Properties': None}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=331c201b232445959743eea7460d546a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 4,polymer,"Mitsubishi Chemical Advanced Materials Nylatron™ / Ertalon™ 4.6 PA4.6 PA 4.6, extruded","Polymer, Thermoplastic, Nylon (Polyamide PA), Nylon 46 (PA46), Nylon 46, Unreinforced","With superior resistance to heat aging, creep, and loss of stiffness over a wide range of temperatures, these nylon 46 shapes excel in extreme environments where PA6, PA66, POM, and PET materials typically fall short.
",,,,"[{'Specific Gravity': {'Metric': '1.19g/cc', 'English': '1.19g/cc', 'Comments': 'ASTM D792'}}]","[{'Acids, Strong (pH 1-3)': {'Mitsubishi Chemical Advanced Materials Nylatron™ / Ertalon™ 4.6 PA4.6 PA 4.6, extruded\n      \n      \n      \n    ': 'Limited', 'Chemical Resistance Properties': 'Limited', 'Metric': None, 'English': None, 'Comments': None}}]","[{'Hardness, Rockwell M': {'Metric': '92.0', 'English': '92.0', 'Comments': 'ASTM D785'}}]","[{'Surface Resistivity per Square': {'Metric': '1.00e+14ohm', 'English': '1.00e+14ohm', 'Comments': 'ANSI/ESD STM 11.11'}}]","[{'CTE, linear': {'Metric': '90.0µm/m-°C', 'English': '50.0µin/in-°F', 'Comments': 'ASTM E-831 (TMA)'}}]",N/A,N/A,[{'ESd categoryInsulative': {'Descriptive Properties': None}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=4f1498e1338e4cbb805dfcd046f3216e,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,"Abatron Metalfix-LH™ Aluminum-Filled, Structural Adhesive Putty; High Temperature Liquid","Polymer, Adhesive, Thermoset, Epoxy, Epoxy, Cast, Metal Filled","Metalfix-LH™ is MetalFix-L™ for up to 320° F (160° C) under stress. Superior resistance to strong solvents and other chemicals. Technical Characteristics:  A: 14.8 lbs/gal; B: 9.8 lbs/gal; mixing ratios: A/B: 100/8.5 pbw (100/13.1 pbv); pot life: 5-8 hours; gray; requires heat cure: 1-12 hours at 176-302° F. The Mastershop compounds are versatile, high-impact and wear resistant, and permanent. Good adhesion to metals, ceramics, glass, wood, fiberglass, masonry, and most rigid materials. Dimensionally stable and shrink-free. Almost unlimited shelf-life. Unaffected by atmospheric conditions, salt and fresh water, alkalis, diluted acids, many solvents, oils, and greases. Withstand temperatures up to 100° C (212° F) or 160° C for the “H” versions. Cured material is easy to machine with standard tools. Can be applied in any thickness. Ample working time.",N/A,,,N/A,N/A,"[{'Hardness, Shore D': {'Metric': '83 - 87', 'English': '83 - 87', 'Comments': None}}]",N/A,N/A,N/A,N/A,[{'ColorGray': {'Descriptive Properties': 'Parts by Weight (pbw)100Part A'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=778470263a524630afada93a76ac6832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,"Abatron Metalfix-L™ Aluminum-Filled, Structural Adhesive Putty; Liquid","Polymer, Adhesive, Thermoset, Epoxy, Epoxy, Cast, Metal Filled","Metalfix-L™ is a fluid-pourable version of MetalFix-P™. For patterns, molds, prototypes, casting, and all applications where a castable, fluid, MetalFix-P™ is needed. Excellent for tooling. Technical Characteristics:  A: 14.8 lbs/gal; B: 8 lbs/gal; mixing Ratios: A/B: 9/1 pbw (5/1 pbv); pot life: 1 hour. The Mastershop compounds are versatile, high-impact and wear resistant, and permanent. Good adhesion to metals, ceramics, glass, wood, fiberglass, masonry, and most rigid materials. Dimensionally stable and shrink-free. Almost unlimited shelf-life. Unaffected by atmospheric conditions, salt and fresh water, alkalis, diluted acids, many solvents, oils, and greases. Withstand temperatures up to 100° C (212° F) or 160° C for the “H” versions. Cured material is easy to machine with standard tools. Can be applied in any thickness. Ample working time.",N/A,,,N/A,N/A,"[{'Hardness, Shore D': {'Metric': '83 - 87', 'English': '83 - 87', 'Comments': None}}]",N/A,N/A,N/A,N/A,[{'Parts by Weight (pbw)1Part B': {'Descriptive Properties': '9Part A'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=5a4b66213b3941138323cb3ac7bf266d,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
