Page NO,Category,Name,Categories,Key Words,Vendors,Color,Crystal Structure,Physical Properties,Chemical Properties,Mechanical Properties,Electrical Properties,Thermal Properties,Optical Properties,Component Elements Properties,Descriptive Properties,Processing,URL,Material,url,Description,Alloy Composition,Base Metal Price (% relative),Brinell Hardness,Compressive (crushing) Strength (MPa),Curie Temperature (°C),Density (g/cm³),Dielectric Constant (relative Permittivity) At 1Hz,Dielectric Constant (relative Permittivity) At 1Mhz,Dielectric Strength (breakdown Potential) (kV/mm),"Elastic (Young's, Tensile) Modulus (GPa)",Electrical Conductivity: Equal Volume (% IACS),Electrical Conductivity: Equal Weight (specific) (% IACS),Electrical Dissipation At 1Hz,Electrical Dissipation At 1Mhz,Electrical Resistivity Order Of Magnitude (10),Elongation At Break (%),Embodied Carbon (kg CO₂),Embodied Energy (MJ/kg),Embodied Water (L/kg),Fatigue Strength (MPa),Flexural Modulus (GPa),Flexural Strength (MPa),Follow-up Questions,Fracture Toughness (MPa·m),Further Reading,Glass Transition Temperature (°C),Heat Deflection Temperature At 1.82Mpa (264Psi) (°C),Impact Strength: Notched Izod (J/m),Impact Strength: V-notched Charpy (J),Knoop Hardness,Latent Heat Of Fusion (J/g),Light Transmission Range (µm),Limiting Oxygen Index (loi) (%),Maximum Temperature: Autoignition (°C),Maximum Temperature: Corrosion (°C),Maximum Temperature: Decomposition (°C),Maximum Temperature: Mechanical (°C),Maximum Thermal Shock (°C),Melting Completion (liquidus) (°C),Melting Onset (solidus) (°C),Poisson's Ratio,Pren (pitting Resistance),Reduction In Area (%),Refractive Index,Resilience: Ultimate (unit Rupture Work) (MJ/m³),Resilience: Unit (modulus Of Resilience) (kJ/m³),Rockwell B Hardness,Rockwell C Hardness,Rockwell M Hardness,Shear Modulus (GPa),Shear Strength (MPa),Solidification (pattern Maker's) Shrinkage (%),Specific Heat Capacity (J/kg·K),Stiffness To Weight: Axial (points),Stiffness To Weight: Bending (points),Strength To Weight: Axial (points),Strength To Weight: Bending (points),Tensile Strength: Ultimate (uts) (MPa),Tensile Strength: Yield (proof) (MPa),Thermal Conductivity (W/m·K),Thermal Diffusivity (mm²/s),Thermal Expansion (µm/m·K),Thermal Shock Resistance (points),Vicat Softening Temperature (°C),Water Absorption After 24 Hours (%),Water Absorption At Saturation (%),Material ID (MAT_ID),Material Designation,Manufacturer/Supplier,Chemical Composition,Semifinished Material Information,Heat Treatment,Microstructure,Hardness,Testing Conditions (Axial Loading),Monotonic Properties,Monotonic Stress-Strain Curves (Ramberg-Osgood Model),"Cyclic/Fatigue Properties (Axial Loading, Fully Reversed)",Testing Temperature (°C),Testing Medium,Loading Type,Loading Control,Specimen,Loading Ratio,Additional Remarks,Fatigue Properties,Fatigue Strain-Life Parameters (Coffin-Manson-Basquin Model),Collecting Cyclic Stress-Strain Plot Data,Collecting Strain-Life Fatigue Plot Data
Category: metal Page No: 1,metal,"Actinium, Ac","Metal, Nonferrous Metal, Pure Element",Ac-227 has the longest half-life of actinium isotopes.,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[{'CAS Number7440-34-8': {'Descriptive Properties': None}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=27c9396463bb44739b6bac95ecda0075&ckck=1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 1,metal,"Barium, Ba","Metal, Nonferrous Metal, Pure Element",,N/A,,,"[{'Density': {'Metric': '3.66g/cc', 'English': '0.132lb/in³', 'Comments': None}}]","[{'Atomic Mass': {'Metric': '137.327', 'English': '137.327', 'Comments': '1995'}}]","[{'Modulus of Elasticity': {'Metric': '12.8GPa', 'English': '1860ksi', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.0000500ohm-cm', 'English': '0.0000500ohm-cm', 'Comments': None}}]","[{'Heat of Fusion': {'Metric': '55.7J/g', 'English': '24.0BTU/lb', 'Comments': None}}]",N/A,"[{'Barium, Ba': {'Component Elements Properties': '100 %', 'Metric': '100 %', 'English': None, 'Comments': None}}]",[{'CAS Number7440-39-3': {'Descriptive Properties': None}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=2e940d5254a94f419a180b5a27ddc318,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 1,metal,"Potassium, K","Metal, Nonferrous Metal, Pure Element",Physical Form: Soft Silver-White Metal; Cubic,N/A,,,"[{'Density': {'Metric': '0.602g/cc@Temperature 1000 °C', 'English': '0.0217lb/in³@Temperature 1830 °F', 'Comments': None}}]","[{'Atomic Mass': {'Metric': '39.0983', 'English': '39.0983', 'Comments': '1995'}}]",N/A,"[{'Electrical Resistivity': {'Metric': '0.00000649ohm-cm@Temperature 0.000 °C', 'English': '0.00000649ohm-cm@Temperature 32.0 °F', 'Comments': None}}]","[{'Heat of Fusion': {'Metric': '61.55J/g', 'English': '26.48BTU/lb', 'Comments': None}}]",N/A,"[{'Potassium, K': {'Component Elements Properties': '100 %', 'Metric': '100 %', 'English': None, 'Comments': None}}]",[{'CAS Number7440-09-7': {'Descriptive Properties': None}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=361b3c72527147afbe6667162f72ae19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 1,metal,"Iridium, Ir; Cold-Drawn","Metal, Nonferrous Metal, Precious Metal, Pure Element","Cold-drawn applies only to tensile and/or hardness values; other property values are typical of the element., Physical Form: Silver-White Metal; Cubic, See entry for annealed samples.",N/A,,,"[{'Density': {'Metric': '22.65g/cc', 'English': '0.8183lb/in³', 'Comments': None}}]","[{'Atomic Mass': {'Metric': '192.217', 'English': '192.217', 'Comments': '1995'}}]","[{'Hardness, Brinell': {'Metric': '565', 'English': '565', 'Comments': 'Converted from Vickers for 3000 kg load/10 mm ball Brinell test.'}}]","[{'Electrical Resistivity': {'Metric': '0.00000470ohm-cm', 'English': '0.00000470ohm-cm', 'Comments': None}}]","[{'Heat of Fusion': {'Metric': '144J/g', 'English': '61.9BTU/lb', 'Comments': None}}]","[{'Emissivity (0-1)': {'Metric': '0.30', 'English': '0.30', 'Comments': '650 nm, unoxidized'}}]","[{'Iridium, Ir': {'Component Elements Properties': '100 %', 'Metric': '100 %', 'English': None, 'Comments': None}}]",[{'CAS Number7439-88-5': {'Descriptive Properties': 'SolubilitySoluble in Aqua Regia'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=ec0e6805048b4d5e8c69c5ed3f0b0a87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 1,metal,"Iridium, Ir; Annealed","Metal, Nonferrous Metal, Precious Metal, Pure Element","Annealed applies only to tensile and/or hardness values; other property values are typical of the element., Physical Form: Silver-White Metal; Cubic, See entry for cold drawn samples.",N/A,,,"[{'Density': {'Metric': '22.65g/cc', 'English': '0.8183lb/in³', 'Comments': None}}]","[{'Atomic Mass': {'Metric': '192.217', 'English': '192.217', 'Comments': '1995'}}]","[{'Hardness, Brinell': {'Metric': '352', 'English': '352', 'Comments': 'Converted from Vickers for 3000 kg load/10 mm ball Brinell test.'}}]","[{'Electrical Resistivity': {'Metric': '0.00000470ohm-cm', 'English': '0.00000470ohm-cm', 'Comments': None}}]","[{'Heat of Fusion': {'Metric': '144J/g', 'English': '61.9BTU/lb', 'Comments': None}}]","[{'Emissivity (0-1)': {'Metric': '0.30', 'English': '0.30', 'Comments': '650 nm, unoxidized'}}]","[{'Iridium, Ir': {'Component Elements Properties': '100 %', 'Metric': '100 %', 'English': None, 'Comments': None}}]",[{'CAS Number7439-88-5': {'Descriptive Properties': 'SolubilitySoluble in Aqua Regia'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bc6c4933ce9f4af2adec2a948bed8a9f,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 2,metal,"AISI M1015 Merchant Quality Carbon Steel, Composition Spec","Metal, Ferrous Metal, Carbon Steel, Low Carbon Steel","The merchant quality steels, designated by the , M,  in the grade, generally have a slightly different composition than that of the underlying steel designation.",N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,"[{'Carbon, C': {'Component Elements Properties': '0.12 - 0.19 %', 'Metric': '0.12 - 0.19 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=8214a5846f5448e99f0c41c2276eac2e,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 2,metal,"AISI 1015 Steel, mock carburized at 915°C (1680°F) for 8 hours, 775°C (1430°F) reheat, water quenched, 175°C (350°F) temper, 100 mm (4 in.) round","Metal, Ferrous Metal, Carbon Steel, AISI 1000 Series Steel, Low Carbon Steel","Better machinability and carburizing. Can be strengthened by cold working or surface hardened by carburizing or cyaniding. Hot rolled sheet has excellent weldability. Post water quenched hardness: 97 HRB surface, 80 HRB half-radius, 78 HRB Center.",N/A,,,"[{'Density': {'Metric': '7.87g/cc', 'English': '0.284lb/in³', 'Comments': 'Typical for steel'}}]",N/A,"[{'Hardness, Brinell': {'Metric': '121', 'English': '121', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.0000159ohm-cm@Temperature 0.000 °C', 'English': '0.0000159ohm-cm@Temperature 32.0 °F', 'Comments': 'annealed condition'}}]","[{'CTE, linear': {'Metric': '11.9µm/m-°C@Temperature 0.000 - 100 °C', 'English': '6.61µin/in-°F@Temperature 32.0 - 212 °F', 'Comments': None}}]",N/A,"[{'Carbon, C': {'Component Elements Properties': '0.13 - 0.18 %', 'Metric': '0.13 - 0.18 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=5555c31fd8e0438db0ef3155745b13ea,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 3,metal,"AISI 1040 Steel, oil quenched from 855°C (1570°F), 650°C (1200°F) temper, 13 mm (0.5 in.) round","Metal, Ferrous Metal, Carbon Steel, AISI 1000 Series Steel, Medium Carbon Steel","Typical uses include machine, plow, and carriage bolts, tie wire, cylinder head studs, and machined parts, U-bolts, concrete reinforcing rods, forgings, and non-critical springs. Post oil quenched hardness: 28 HRC surface, 22 HRC half-radius, 21 HRC center.",N/A,,,"[{'Density': {'Metric': '7.845g/cc', 'English': '0.2834lb/in³', 'Comments': 'Chemical composition of 0.435% C, 0.69% Mn, 0.20% Si, annealed at 860°C (1580°F).'}}]",N/A,"[{'Hardness, Brinell': {'Metric': '197', 'English': '197', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.0000171ohm-cm@Temperature 20.0 °C', 'English': '0.0000171ohm-cm@Temperature 68.0 °F', 'Comments': None}}]","[{'CTE, linear': {'Metric': '11.3µm/m-°C@Temperature 20.0 - 100 °C', 'English': '6.28µin/in-°F@Temperature 68.0 - 212 °F', 'Comments': 'Composition of 0.40% C, 0.11% Mn, 0.01% P, 0.03% S, 0.03% Si, 0.03% Cu.'}}]",N/A,"[{'Carbon, C': {'Component Elements Properties': '0.37 - 0.44 %', 'Metric': '0.37 - 0.44 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=f7e18d78f83c48cc81ebca845f31850b,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 3,metal,"AISI 1040 Steel, oil quenched from 855°C (1570°F), 595°C (1100°F) temper, 100 mm (4 in.) round","Metal, Ferrous Metal, Carbon Steel, AISI 1000 Series Steel, Medium Carbon Steel","Typical uses include machine, plow, and carriage bolts, tie wire, cylinder head studs, and machined parts, U-bolts, concrete reinforcing rods, forgings, and non-critical springs. Post oil quenched hardness: 91 HRB surface, 91 HRB half-radius, 89 HRB center.",N/A,,,"[{'Density': {'Metric': '7.845g/cc', 'English': '0.2834lb/in³', 'Comments': 'Chemical composition of 0.435% C, 0.69% Mn, 0.20% Si, annealed at 860°C (1580°F).'}}]",N/A,"[{'Hardness, Brinell': {'Metric': '170', 'English': '170', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.0000171ohm-cm@Temperature 20.0 °C', 'English': '0.0000171ohm-cm@Temperature 68.0 °F', 'Comments': None}}]","[{'CTE, linear': {'Metric': '11.3µm/m-°C@Temperature 20.0 - 100 °C', 'English': '6.28µin/in-°F@Temperature 68.0 - 212 °F', 'Comments': 'Composition of 0.40% C, 0.11% Mn, 0.01% P, 0.03% S, 0.03% Si, 0.03% Cu.'}}]",N/A,"[{'Carbon, C': {'Component Elements Properties': '0.37 - 0.44 %', 'Metric': '0.37 - 0.44 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=15bc8d814a504a7a8372bd9664215b14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: metal Page No: 4,metal,"AISI 1137 Steel, cold drawn, 19-32 mm (0.75-1.25 in) round","Metal, Ferrous Metal, Carbon Steel, AISI 1000 Series Steel, Medium Carbon Steel","Medium strength and good machinability. Applications include spline shafts, and studs, bolts, and nuts with machined threads.",N/A,,,"[{'Density': {'Metric': '7.87g/cc', 'English': '0.284lb/in³', 'Comments': 'Typical for steel.'}}]",N/A,"[{'Hardness, Brinell': {'Metric': '197', 'English': '197', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.0000170ohm-cm@Temperature 20.0 °C', 'English': '0.0000170ohm-cm@Temperature 68.0 °F', 'Comments': 'condition of specimen unknown'}}]","[{'CTE, linear': {'Metric': '11.5µm/m-°C@Temperature 20.0 °C', 'English': '6.39µin/in-°F@Temperature 68.0 °F', 'Comments': 'Typical steel'}}]",N/A,"[{'Carbon, C': {'Component Elements Properties': '0.32 - 0.39 %', 'Metric': '0.32 - 0.39 %', 'English': None, 'Comments': None}}]",N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=dc50c2f80ca44617b8e0c16d447b34f5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
